N;M;Output
100000;1024;102215
100000;1024;99619
100000;1024;103602
100000;1024;100755
100000;1024;96765
100000;1024;103228
100000;1024;94813
100000;1024;102061
100000;1024;103483
100000;1024;92965
100000;1024;99834
100000;1024;94364
100000;1024;96195
100000;1024;102155
100000;1024;102182
100000;1024;101376
100000;1024;100451
100000;1024;100558
100000;1024;102899
100000;1024;99631
100000;1024;97656
100000;1024;104602
100000;1024;98998
100000;1024;107474
100000;1024;100136
100000;1024;106129
100000;1024;101930
100000;1024;100898
100000;1024;102442
100000;1024;99536
100000;1024;98223
100000;1024;100433
100000;1024;97952
100000;1024;96054
100000;1024;97983
100000;1024;100236
100000;1024;97347
100000;1024;97140
100000;1024;105062
100000;1024;101275
100000;1024;101601
100000;1024;101911
100000;1024;94228
100000;1024;99714
100000;1024;100423
100000;1024;101142
100000;1024;95110
100000;1024;99265
100000;1024;99236
100000;1024;104017
100000;1024;99433
100000;1024;100699
100000;1024;106076
100000;1024;97969
100000;1024;104203
100000;1024;99505
100000;1024;94805
100000;1024;96042
100000;1024;102317
100000;1024;97305
100000;1024;101367
100000;1024;103039
100000;1024;102529
100000;1024;102718
100000;1024;95874
100000;1024;100499
100000;1024;97616
100000;1024;98897
100000;1024;104456
100000;1024;98688
100000;1024;106052
100000;1024;99232
100000;1024;101047
100000;1024;99255
100000;1024;104817
100000;1024;99757
100000;1024;95167
100000;1024;95075
100000;1024;103328
100000;1024;98794
100000;1024;97670
100000;1024;103641
100000;1024;99762
100000;1024;103321
100000;1024;101746
100000;1024;101359
100000;1024;103879
100000;1024;97337
100000;1024;95649
100000;1024;103457
100000;1024;105377
100000;1024;105174
100000;1024;95979
100000;1024;98547
100000;1024;104822
100000;1024;103004
100000;1024;94846
100000;1024;97593
100000;1024;100017
100000;1024;104715
100000;1024;108826
100000;1024;100102
100000;1024;101985
100000;1024;98411
100000;1024;101855
100000;1024;97754
100000;1024;102700
100000;1024;100587
100000;1024;95405
100000;1024;102986
100000;1024;96199
100000;1024;101752
100000;1024;102347
100000;1024;97686
100000;1024;98584
100000;1024;98387
100000;1024;105715
100000;1024;106426
100000;1024;103681
100000;1024;93733
100000;1024;100100
100000;1024;101395
100000;1024;99902
100000;1024;101127
100000;1024;105432
100000;1024;99339
100000;1024;101019
100000;1024;95225
100000;1024;108200
100000;1024;104034
100000;1024;97171
100000;1024;101474
100000;1024;100959
100000;1024;100894
100000;1024;101180
100000;1024;98331
100000;1024;96843
100000;1024;100096
100000;1024;97203
100000;1024;105533
100000;1024;101301
100000;1024;99773
100000;1024;98296
100000;1024;98063
100000;1024;101920
100000;1024;105225
100000;1024;102344
100000;1024;98723
100000;1024;102964
100000;1024;94929
100000;1024;99604
100000;1024;94131
100000;1024;100619
100000;1024;95520
100000;1024;100107
100000;1024;100828
100000;1024;98547
100000;1024;105136
100000;1024;98062
100000;1024;107034
100000;1024;103601
100000;1024;104955
100000;1024;102296
100000;1024;101536
100000;1024;97915
100000;1024;102999
100000;1024;96498
100000;1024;101201
100000;1024;100325
100000;1024;100944
100000;1024;99805
100000;1024;104530
100000;1024;101905
100000;1024;99097
100000;1024;102641
100000;1024;98022
100000;1024;102170
100000;1024;105060
100000;1024;107468
100000;1024;105057
100000;1024;97587
100000;1024;98277
100000;1024;97144
100000;1024;97327
100000;1024;99193
100000;1024;98273
100000;1024;107409
100000;1024;92033
100000;1024;99546
100000;1024;98530
100000;1024;91246
100000;1024;101169
100000;1024;106799
100000;1024;101305
100000;1024;101703
100000;1024;100030
100000;1024;98241
100000;1024;101674
100000;1024;99110
100000;1024;96227
100000;1024;99748
100000;1024;100639
100000;1024;99282
100000;1024;98301
100000;1024;102154
100000;1024;102106
100000;1024;107322
100000;1024;102333
100000;1024;102410
100000;1024;97600
100000;1024;100123
100000;1024;92938
100000;1024;98707
100000;1024;93722
100000;1024;101505
100000;1024;100828
100000;1024;98099
100000;1024;100990
100000;1024;100939
100000;1024;97303
100000;1024;97863
100000;1024;102489
100000;1024;106712
100000;1024;102532
100000;1024;97139
100000;1024;101736
100000;1024;104699
100000;1024;98191
100000;1024;95173
100000;1024;97748
100000;1024;104291
100000;1024;99882
100000;1024;100667
100000;1024;96503
100000;1024;97853
100000;1024;101138
100000;1024;106289
100000;1024;99936
100000;1024;96160
100000;1024;98977
100000;1024;106354
100000;1024;100469
100000;1024;96271
100000;1024;101500
100000;1024;94812
100000;1024;101195
100000;1024;108016
100000;1024;94979
100000;1024;98297
100000;1024;96789
100000;1024;100711
100000;1024;100624
100000;1024;99019
100000;1024;93734
100000;1024;98857
100000;1024;95074
100000;1024;100493
100000;1024;96754
100000;1024;101014
100000;1024;97325
100000;1024;92473
100000;1024;99482
100000;1024;102334
100000;1024;100925
100000;1024;100529
100000;1024;94042
100000;1024;102949
100000;1024;101535
100000;1024;108636
100000;1024;99752
100000;1024;103344
100000;1024;98025
100000;1024;101755
100000;1024;97582
100000;1024;96635
100000;1024;102780
100000;1024;101302
100000;1024;93599
100000;1024;101390
100000;1024;104584
100000;1024;97408
100000;1024;101647
100000;1024;100002
100000;1024;95696
100000;1024;101084
100000;1024;97929
100000;1024;96608
100000;1024;102438
100000;1024;101370
100000;1024;99542
100000;1024;97755
100000;1024;103810
100000;1024;99745
100000;1024;97569
100000;1024;96880
100000;1024;98324
100000;1024;102245
100000;1024;97247
100000;1024;97666
100000;1024;102208
100000;1024;100965
100000;1024;103336
100000;1024;104214
100000;1024;97333
100000;1024;97504
100000;1024;103867
100000;1024;102619
100000;1024;100114
100000;1024;103139
100000;1024;102381
100000;1024;104886
100000;1024;105834
100000;1024;98404
100000;1024;94726
100000;1024;104437
100000;1024;97898
100000;1024;101275
100000;1024;96248
100000;1024;96275
100000;1024;102838
100000;1024;101418
100000;1024;98107
100000;1024;97548
100000;1024;107721
100000;1024;93632
100000;1024;100006
100000;1024;95816
100000;1024;97294
100000;1024;100366
100000;1024;101680
100000;1024;100752
100000;1024;99120
100000;1024;101167
100000;1024;94058
100000;1024;99776
100000;1024;101946
100000;1024;101285
100000;1024;99066
100000;1024;93657
100000;1024;100673
100000;1024;104959
100000;1024;96651
100000;1024;95209
100000;1024;102592
100000;1024;101480
100000;1024;103668
100000;1024;104001
100000;1024;98413
100000;1024;103901
100000;1024;100518
100000;1024;97450
100000;1024;101817
100000;1024;96303
100000;1024;97579
100000;1024;108166
100000;1024;101614
100000;1024;101908
100000;1024;97851
100000;1024;97142
100000;1024;101412
100000;1024;106362
100000;1024;101106
100000;1024;97035
100000;1024;96396
100000;1024;98637
100000;1024;99069
100000;1024;97985
100000;1024;103526
100000;1024;100986
100000;1024;93887
100000;1024;94194
100000;1024;95586
100000;1024;99201
100000;1024;94035
100000;1024;103316
100000;1024;100639
100000;1024;106802
100000;1024;100517
100000;1024;103578
100000;1024;100198
100000;1024;99396
100000;1024;98531
100000;1024;102815
100000;1024;100877
100000;1024;99694
100000;1024;99146
100000;1024;98730
100000;1024;98511
100000;1024;100816
100000;1024;102312
100000;1024;94719
100000;1024;97122
100000;1024;96948
100000;1024;98007
100000;1024;102147
100000;1024;100871
100000;1024;100623
100000;1024;94322
100000;1024;97555
100000;1024;101950
100000;1024;104148
100000;1024;102032
100000;1024;95979
100000;1024;97321
100000;1024;101422
100000;1024;102377
100000;1024;99075
100000;1024;105608
100000;1024;99544
100000;1024;102281
100000;1024;96774
100000;1024;97727
100000;1024;100818
100000;1024;101280
100000;1024;98155
100000;1024;96957
100000;1024;103173
100000;1024;95686
100000;1024;98709
100000;1024;99427
100000;1024;101538
100000;1024;99372
100000;1024;102775
100000;1024;98594
100000;1024;101444
100000;1024;104010
100000;1024;94891
100000;1024;95553
100000;1024;101547
100000;1024;95850
100000;1024;95935
100000;1024;106874
100000;1024;103523
100000;1024;93003
100000;1024;98061
100000;1024;100019
100000;1024;110554
100000;1024;96578
100000;1024;107189
100000;1024;100693
100000;1024;99174
100000;1024;97095
100000;1024;93583
100000;1024;103351
100000;1024;102484
100000;1024;98224
100000;1024;102378
100000;1024;102272
100000;1024;94098
100000;1024;103180
100000;1024;99092
100000;1024;91032
100000;1024;100526
100000;1024;107146
100000;1024;102748
100000;1024;97650
100000;1024;98084
100000;1024;104815
100000;1024;99644
100000;1024;101310
100000;1024;99305
100000;1024;98045
100000;1024;99438
100000;1024;98434
100000;1024;98598
100000;1024;96351
100000;1024;102112
100000;1024;94971
100000;1024;101344
100000;1024;97197
100000;1024;99533
100000;1024;98854
100000;1024;103171
100000;1024;99800
100000;1024;98636
100000;1024;101976
100000;1024;95980
100000;1024;97604
100000;1024;100119
100000;1024;104750
100000;1024;105005
100000;1024;98426
100000;1024;101552
100000;1024;96477
100000;1024;96077
100000;1024;98730
100000;1024;103627
100000;1024;104711
100000;1024;97767
100000;1024;95587
100000;1024;95865
100000;1024;102034
100000;1024;97918
100000;1024;102753
100000;1024;98052
100000;1024;105083
100000;1024;103582
100000;1024;98187
100000;1024;100640
100000;1024;99256
100000;1024;97988
100000;1024;94932
100000;1024;100887
100000;1024;103119
100000;1024;100471
100000;1024;98077
100000;1024;92637
100000;1024;97408
100000;1024;103069
100000;1024;99402
100000;1024;102725
100000;1024;101365
100000;1024;97439
100000;1024;101489
100000;1024;109194
100000;1024;102722
100000;1024;95333
100000;1024;94016
100000;1024;100305
100000;1024;94935
100000;1024;99504
100000;1024;94489
100000;1024;99403
100000;1024;102369
100000;1024;100084
100000;1024;102893
100000;1024;95455
100000;1024;102986
100000;1024;100202
100000;1024;99343
100000;1024;94969
100000;1024;103423
100000;1024;104596
100000;1024;110220
100000;1024;96719
100000;1024;106730
100000;1024;98115
100000;1024;101681
100000;1024;97349
100000;1024;103448
100000;1024;98881
100000;1024;95528
100000;1024;97084
100000;1024;98843
100000;1024;100102
100000;1024;96311
100000;1024;101618
100000;1024;99875
100000;1024;97523
100000;1024;101728
100000;1024;99453
100000;1024;96072
100000;1024;101507
100000;1024;101975
100000;1024;97743
100000;1024;101535
100000;1024;103532
100000;1024;94162
100000;1024;95240
100000;1024;97498
100000;1024;92897
100000;1024;104596
100000;1024;102993
100000;1024;95354
100000;1024;102246
100000;1024;98838
100000;1024;100973
100000;1024;98036
100000;1024;104264
100000;1024;100635
100000;1024;98187
100000;1024;97954
100000;1024;103657
100000;1024;99704
100000;1024;102135
100000;1024;99766
100000;1024;103163
100000;1024;101497
100000;1024;98836
100000;1024;99965
100000;1024;101325
100000;1024;95607
100000;1024;93656
100000;1024;101666
100000;1024;100491
100000;1024;99376
100000;1024;101748
100000;1024;99863
100000;1024;102114
100000;1024;96263
100000;1024;100312
100000;1024;97995
100000;1024;96206
100000;1024;96791
100000;1024;103644
100000;1024;97292
100000;1024;98399
100000;1024;99119
100000;1024;97237
100000;1024;103637
100000;1024;100295
100000;1024;104103
100000;1024;99602
100000;1024;107217
100000;1024;97880
100000;1024;96021
100000;1024;102044
100000;1024;96939
100000;1024;103046
100000;1024;99760
100000;1024;101109
100000;1024;100702
100000;1024;99176
100000;1024;101884
100000;1024;103282
100000;1024;102299
100000;1024;97094
100000;1024;103091
100000;1024;98760
100000;1024;103801
100000;1024;99873
100000;1024;95378
100000;1024;107142
100000;1024;103298
100000;1024;100538
100000;1024;100870
100000;1024;102068
100000;1024;98881
100000;1024;108936
100000;1024;101180
100000;1024;101345
100000;1024;99007
100000;1024;101362
100000;1024;98176
100000;1024;102939
100000;1024;101220
100000;1024;97758
100000;1024;96987
100000;1024;99522
100000;1024;100055
100000;1024;101187
100000;1024;98386
100000;1024;97245
100000;1024;101950
100000;1024;97282
100000;1024;103568
100000;1024;96583
100000;1024;99502
100000;1024;99316
100000;1024;98353
100000;1024;106355
100000;1024;99348
100000;1024;98967
100000;1024;95095
100000;1024;104007
100000;1024;97193
100000;1024;98908
100000;1024;99463
100000;1024;103397
100000;1024;95954
100000;1024;98296
100000;1024;96276
100000;1024;96818
100000;1024;102111
100000;1024;95329
100000;1024;101502
100000;1024;101705
100000;1024;100404
100000;1024;97964
100000;1024;97381
100000;1024;97541
100000;1024;98018
100000;1024;98444
100000;1024;105415
100000;1024;100736
100000;1024;99675
100000;1024;99326
100000;1024;105853
100000;1024;100912
100000;1024;96598
100000;1024;103751
100000;1024;100867
100000;1024;96134
100000;1024;100679
100000;1024;96336
100000;1024;97613
100000;1024;94128
100000;1024;102874
100000;1024;103275
100000;1024;96401
100000;1024;101058
100000;1024;104705
100000;1024;98787
100000;1024;105718
100000;1024;103202
100000;1024;103325
100000;1024;95973
100000;1024;98049
100000;1024;101373
100000;1024;100850
100000;1024;99314
100000;1024;109088
100000;1024;106323
100000;1024;103356
100000;1024;108424
100000;1024;98273
100000;1024;95360
100000;1024;100693
100000;1024;94933
100000;1024;101000
100000;1024;95383
100000;1024;97053
100000;1024;102617
100000;1024;104425
100000;1024;97468
100000;1024;102501
100000;1024;97984
100000;1024;104361
100000;1024;99147
100000;1024;98316
100000;1024;100171
100000;1024;100734
100000;1024;99023
100000;1024;99243
100000;1024;98321
100000;1024;97291
100000;1024;104722
100000;1024;91535
100000;1024;94426
100000;1024;106192
100000;1024;98468
100000;1024;98749
100000;1024;98930
100000;1024;104722
100000;1024;100593
100000;1024;100589
100000;1024;96382
100000;1024;95197
100000;1024;94464
100000;1024;106717
100000;1024;99971
100000;1024;97355
100000;1024;100667
100000;1024;98461
100000;1024;100131
100000;1024;95137
100000;1024;95892
100000;1024;98241
100000;1024;100699
100000;1024;101145
100000;1024;92857
100000;1024;99055
100000;1024;101679
100000;1024;96268
100000;1024;99456
100000;1024;101658
100000;1024;100440
100000;1024;103607
100000;1024;97899
100000;1024;101424
100000;1024;100091
100000;1024;101866
100000;1024;97264
100000;1024;100001
100000;1024;97948
100000;1024;99391
100000;1024;107987
100000;1024;94128
100000;1024;97874
100000;1024;98483
100000;1024;105751
100000;1024;103697
100000;1024;105403
100000;1024;102337
100000;1024;103896
100000;1024;99532
100000;1024;103761
100000;1024;98634
100000;1024;101659
100000;1024;102366
100000;1024;101546
100000;1024;102975
100000;1024;97459
100000;1024;102360
100000;1024;99433
100000;1024;98481
100000;1024;96233
100000;1024;101684
100000;1024;98614
100000;1024;105737
100000;1024;94788
100000;1024;101065
100000;1024;98636
100000;1024;96994
100000;1024;100283
100000;1024;100679
100000;1024;104188
100000;1024;98123
100000;1024;90118
100000;1024;104757
100000;1024;93013
100000;1024;101047
100000;1024;96387
100000;1024;98396
100000;1024;97891
100000;1024;99281
100000;1024;102937
100000;1024;97849
100000;1024;103974
100000;1024;95574
100000;1024;103183
100000;1024;97509
100000;1024;100706
100000;1024;93947
100000;1024;98988
100000;1024;104141
100000;1024;98363
100000;1024;100117
100000;1024;95040
100000;1024;99289
100000;1024;102115
100000;1024;95539
100000;1024;96456
100000;1024;102438
100000;1024;97167
100000;1024;97343
100000;1024;96583
100000;1024;96645
100000;1024;102396
100000;1024;94937
100000;1024;94710
100000;1024;100432
100000;1024;96967
100000;1024;95622
100000;1024;98897
100000;1024;99282
100000;1024;105154
100000;1024;100136
100000;1024;103776
100000;1024;99325
100000;1024;97091
100000;1024;99355
100000;1024;106407
100000;1024;98605
100000;1024;102779
100000;1024;92868
100000;1024;100046
100000;1024;98996
100000;1024;103782
100000;1024;96676
100000;1024;101166
100000;1024;98442
100000;1024;103814
100000;1024;101468
100000;1024;105559
100000;1024;99481
100000;1024;100938
100000;1024;101114
100000;1024;99696
100000;1024;97404
100000;1024;107564
100000;1024;102141
100000;1024;105236
100000;1024;97098
100000;1024;95041
100000;1024;101018
100000;1024;97177
100000;1024;98077
100000;1024;96904
100000;1024;99564
100000;1024;96294
100000;1024;103197
100000;1024;104687
100000;1024;97627
100000;1024;101674
100000;1024;93016
100000;1024;95663
100000;1024;102420
100000;1024;102891
100000;1024;102425
100000;1024;101162
100000;1024;99009
100000;1024;96272
100000;1024;101505
100000;1024;96181
100000;1024;98842
100000;1024;101789
100000;1024;99754
100000;1024;96016
100000;1024;95896
100000;1024;103808
100000;1024;94113
100000;1024;94980
100000;1024;96884
100000;1024;97600
100000;1024;97075
100000;1024;98318
100000;1024;102212
100000;1024;96457
100000;1024;93899
100000;1024;94035
100000;1024;101786
100000;1024;102161
100000;1024;100369
100000;1024;95833
100000;1024;96329
100000;1024;105800
100000;1024;104820
100000;1024;106841
100000;1024;100246
100000;1024;101089
100000;1024;97002
100000;1024;99897
100000;1024;96852
100000;1024;103227
100000;1024;101012
100000;1024;97078
100000;1024;100240
100000;1024;94543
100000;1024;95988
100000;1024;110406
100000;1024;101454
100000;1024;103513
100000;1024;99368
100000;1024;96968
100000;1024;97463
100000;1024;95115
100000;1024;106150
100000;1024;100204
100000;1024;100158
100000;1024;102769
100000;1024;97682
100000;1024;100066
100000;1024;102356
100000;1024;100513
100000;1024;98109
